danceability,energy,key,loudness,mode_,speechiness,acousticness,instrumentalness,liveness,tempo,duration_ms,time_signature,playlist
0.464,0.539,5,-8.701,1,0.394,0.488,0.00022,0.063,173.661,189510,4,0
0.265,0.8,6,-6.577,0,0.0648,0.743,0.976,0.533,91.506,337373,4,0
0.394,0.197,2,-11.719,0,0.0346,0.977,0.0139,0.0725,136.12,186187,4,0
0.716,0.912,0,-5.318,0,0.0396,0.853,0.863,0.0574,130.005,228923,4,0
0.341,0.647,0,-4.363,1,0.0344,0.0305,0.323,0.0988,150.929,256413,4,0
0.693,0.439,4,-11.646,1,0.0276,0.0675,0.496,0.112,113.942,244928,4,0
0.414,0.373,6,-10.59,0,0.028,0.506,0.0335,0.128,81.939,240000,4,0
0.358,0.161,1,-16.848,1,0.0368,0.987,0.0315,0.11,83.351,158786,4,0
0.605,0.443,8,-13.171,0,0.0351,0.611,0.0917,0.111,111.87,274729,4,0
0.574,0.62,6,-11.141,0,0.0282,0.437,0.923,0.0813,121.019,230200,4,0
0.803,0.561,9,-8.683,0,0.0281,0.442,0.358,0.475,114.929,133921,4,0
0.776,0.503,0,-5.732,0,0.237,0.874,0.0,0.112,110.134,210285,4,0
0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,111.98,298941,4,0
0.475,0.603,7,-11.517,1,0.0387,0.549,0.246,0.336,164.925,224176,4,0
0.496,0.725,9,-6.107,1,0.0467,0.0241,0.00139,0.0608,94.012,235483,4,0
0.472,0.348,4,-11.273,1,0.0421,0.528,0.035,0.245,129.575,184130,4,0
0.705,0.407,2,-11.554,1,0.0619,0.422,0.829,0.115,90.002,126896,4,0
0.758,0.326,2,-12.719,1,0.0406,0.896,0.0174,0.129,129.787,117480,4,0
0.0745,0.151,9,-21.248,0,0.0406,0.488,0.929,0.114,80.035,594700,5,0
0.652,0.669,11,-7.797,0,0.0262,0.122,0.00039,0.169,115.047,194009,4,0
0.514,0.442,9,-11.62,0,0.556,0.358,0.225,0.0817,66.356,176587,3,0
0.698,0.542,2,-4.317,1,0.131,0.132,0.00117,0.199,140.096,165391,4,0
0.725,0.801,5,-5.326,0,0.035,0.137,0.0397,0.133,129.98,268747,4,0
0.414,0.473,11,-8.911,0,0.116,0.663,0.0523,0.128,100.0,129698,4,0
0.497,0.282,9,-16.008,0,0.029,0.83,0.763,0.103,169.66,179373,4,0
0.409,0.579,11,-5.156,0,0.0387,0.0113,5.24e-06,0.368,111.426,323747,4,0
0.645,0.72,8,-6.032,1,0.0399,0.0124,1.18e-06,0.502,92.799,186493,4,0
0.539,0.309,4,-13.597,1,0.0326,0.559,0.702,0.109,119.991,201712,4,0
0.405,0.121,6,-23.169,1,0.0329,0.945,0.00148,0.112,82.721,160882,4,0
0.425,0.979,7,-1.905,1,0.118,0.00037,0.0,0.104,147.513,253560,4,0
0.661,0.658,6,-6.782,0,0.0303,0.0332,0.0464,0.315,147.991,130693,4,0
0.754,0.37,6,-9.854,0,0.12,0.403,6.22e-05,0.107,114.941,193600,4,0
0.379,0.908,10,-6.38,0,0.274,0.118,9.53e-06,0.0946,183.481,203173,4,0
0.664,0.48,5,-6.953,1,0.0417,0.0653,0.0222,0.11,138.896,155396,4,0
0.508,0.958,1,-4.622,1,0.0736,9.38e-05,0.0451,0.0896,130.147,168360,4,0
0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,116.879,216320,4,0
0.454,0.663,5,-8.54,1,0.0415,0.407,0.0466,0.0913,173.988,285533,4,0
0.68,0.527,9,-7.581,1,0.0456,0.268,4.68e-05,0.112,122.054,112131,4,0
0.698,0.445,2,-10.203,0,0.043,0.153,1.2e-05,0.26,128.002,194000,4,0
0.563,0.468,9,-12.265,1,0.0363,0.0444,0.0,0.301,101.849,230588,4,0
0.559,0.531,1,-10.682,1,0.0355,0.0653,0.104,0.12,114.983,233739,4,0
0.643,0.44,1,-9.849,1,0.034,0.168,0.0,0.33,120.022,168000,4,0
0.523,0.469,0,-12.013,1,0.0365,0.204,0.000142,0.0909,114.988,198261,4,0
0.378,0.469,6,-11.292,0,0.0369,0.0136,6.3e-05,0.355,139.757,233143,4,0
0.68,0.348,0,-13.55,1,0.0332,0.635,0.0,0.0859,115.099,179478,4,0
0.407,0.411,7,-11.841,1,0.0354,0.342,2.98e-05,0.128,107.922,277778,4,0
0.595,0.417,10,-12.621,0,0.0538,0.273,0.000264,0.131,130.002,208615,4,0
0.597,0.405,11,-9.164,0,0.0398,0.473,4.72e-06,0.17,110.001,174545,4,0
0.63,0.449,8,-11.679,1,0.0568,0.195,0.00892,0.117,145.019,158897,4,0
0.732,0.26,7,-14.765,0,0.0327,0.334,0.00174,0.0901,123.007,263415,4,0
0.606,0.533,2,-7.744,0,0.0445,0.33,0.000398,0.0906,120.135,160105,3,0
0.725,0.775,5,-6.694,0,0.102,0.0279,0.588,0.0969,145.979,299853,4,0
0.559,0.502,9,-9.844,1,0.256,0.807,0.0346,0.347,90.333,263345,4,0
0.402,0.664,7,-6.619,1,0.0477,0.00959,8.99e-06,0.108,145.493,155500,4,0
0.52,0.54,0,-11.584,1,0.0283,0.163,0.778,0.0839,174.974,350480,4,0
0.649,0.837,4,-5.998,0,0.246,0.00347,0.0,0.58,112.121,217400,4,0
0.698,0.497,2,-8.144,1,0.0282,0.572,0.000154,0.0533,102.013,184360,4,0
0.587,0.722,11,-7.068,1,0.0417,0.117,4.21e-05,0.109,129.986,195692,4,0
0.575,0.784,1,-4.594,0,0.0795,0.0206,0.0,0.219,142.976,232832,4,0
0.513,0.754,10,-5.309,1,0.0432,0.022,0.546,0.0766,99.983,313493,4,0
0.663,0.643,5,-4.383,1,0.0316,0.535,0.0,0.308,121.97,228907,4,0
0.54,0.456,2,-11.691,1,0.272,0.707,4.05e-05,0.101,129.125,205347,3,0
0.678,0.494,6,-9.539,0,0.245,0.185,0.0094,0.201,130.026,387692,4,0
0.523,0.477,6,-9.076,1,0.0254,0.0961,0.000106,0.101,76.973,272507,4,0
0.578,0.544,6,-8.745,1,0.0668,0.085,0.00817,0.17,92.986,165233,4,0
0.625,0.682,9,-11.882,0,0.0355,0.267,0.85,0.679,125.032,268788,4,0
0.467,0.761,9,-5.893,1,0.0386,0.0186,1.25e-06,0.0666,145.241,225333,4,0
0.654,0.786,0,-4.697,1,0.0879,0.132,0.0,0.0756,120.097,163427,4,0
0.553,0.95,2,-2.543,1,0.0551,0.000264,0.0,0.29,128.745,179733,4,0
0.369,0.591,4,-6.37,1,0.102,0.329,3.48e-06,0.0762,158.399,218613,1,0
0.488,0.499,0,-13.396,1,0.0254,0.343,1.31e-05,0.154,96.094,142760,4,0
0.52,0.622,7,-8.421,0,0.0422,0.251,0.0,0.0702,133.943,250000,4,0
0.232,0.738,2,-2.793,1,0.0447,0.0218,0.192,0.214,120.813,282197,4,0
0.676,0.606,1,-7.052,1,0.0461,0.0259,0.21,0.112,130.394,185493,4,0
0.472,0.49,4,-7.974,1,0.0318,0.203,0.0283,0.158,79.698,275693,4,0
0.759,0.492,0,-7.795,1,0.0413,0.252,0.000301,0.089,133.061,241635,4,0
0.538,0.673,9,-9.278,0,0.0416,0.193,0.00276,0.0959,150.086,236107,4,0
0.733,0.801,4,-3.728,0,0.195,0.356,9.37e-06,0.365,107.961,278160,4,0
0.562,0.191,5,-17.438,1,0.0431,0.241,0.0184,0.12,116.111,256587,4,0
0.448,0.733,3,-6.238,1,0.0292,0.0369,0.0425,0.169,142.008,258653,4,0
0.64,0.893,7,-5.795,0,0.0475,0.0406,0.00738,0.0735,133.973,210613,4,0
0.803,0.47,6,-7.232,0,0.0387,0.587,0.091,0.0723,121.226,290173,4,0
0.768,0.393,0,-11.737,1,0.0399,0.229,0.375,0.0923,131.989,206600,5,0
0.523,0.445,2,-12.239,1,0.0375,0.56,0.834,0.315,117.43,138587,4,0
0.623,0.65,10,-7.953,1,0.0274,0.245,0.000913,0.146,116.74,227907,4,0
0.648,0.177,9,-13.474,0,0.0311,0.985,0.000353,0.134,99.101,228547,3,0
0.696,0.269,5,-16.422,0,0.0329,0.951,0.0262,0.11,127.798,152480,4,0
0.56,0.467,3,-6.13,1,0.03,0.564,0.0,0.128,129.663,137653,4,0
0.474,0.919,11,-5.966,1,0.0779,0.00119,1.82e-06,0.314,149.055,201240,4,0
